"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.16, 655.1, 0.02]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.12, 655.14, 0.03]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.09, 655.08, 0.04]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.14, 655.11, 0.05]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.14, 655.14, 0.05]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.14, 655.13, 0.06]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.13, 655.19, 0.07]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.12, 655.14, 0.06]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.14, 655.15, 0.02]}"
"'ShootPacket': {'playerID': 1, 'isFired': True}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.12, 655.13, 0.01]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.12, 655.18, 0.0]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.14, 655.11, 0.05]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.11], 'gyro': [0.12, 655.14, 0.04]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.15, 655.16, 0.05]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.14, 655.11, 0.1]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.13, 655.11, 0.05]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.19, 655.14, 0.02]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.11, 655.14, 0.02]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.11, 655.13, 0.03]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.1, 655.15, 0.0]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.12, 655.17, 0.04]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.15, 655.17, 0.04]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.15, 655.11, 0.04]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.12, 655.12, 0.03]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.13, 655.14, 0.01]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.12, 655.18, 0.02]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.11], 'gyro': [0.14, 655.16, 0.07]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.1, 655.1, 0.01]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.32, 0.29, 1.1], 'gyro': [0.16, 655.22, 0.1]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.11, 655.14, 0.05]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.32, 0.3, 1.1], 'gyro': [0.13, 655.13, 0.04]}"
"'ShootPacket': {'playerID': 1, 'isFired': True}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.12, 655.14, 0.06]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.13, 655.14, 0.03]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.11, 655.06, 0.01]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.32, 0.3, 1.1], 'gyro': [0.18, 655.21, 0.09]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.06, 655.08, 655.34]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.32, 0.3, 1.1], 'gyro': [0.14, 655.18, 0.1]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.06, 655.08, 655.28]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.18, 655.12, 0.09]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.32, 0.29, 1.1], 'gyro': [0.13, 655.16, 0.06]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.08, 655.05, 0.0]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.16, 655.13, 0.05]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.32, 0.3, 1.1], 'gyro': [0.15, 655.08, 655.34]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.11, 655.14, 0.05]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.12, 655.15, 655.35]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.32, 0.3, 1.1], 'gyro': [0.11, 655.13, 0.03]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.12, 655.13, 0.0]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.32, 0.3, 1.11], 'gyro': [0.17, 655.11, 0.08]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.13, 655.15, 0.05]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.14, 655.1, 0.04]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.12, 655.24, 0.11]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.12, 655.12, 0.06]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.32, 0.3, 1.1], 'gyro': [0.17, 655.1, 0.05]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.11, 655.09, 0.06]}"
"'ShootPacket': {'playerID': 1, 'isFired': True}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.29, 1.1], 'gyro': [0.09, 655.11, 0.0]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.14, 655.03, 0.08]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.16, 655.18, 0.05]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.12, 655.15, 655.25]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.32, 0.3, 1.1], 'gyro': [0.17, 655.16, 0.04]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.11], 'gyro': [0.2, 655.12, 0.04]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.14, 655.14, 0.01]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.08, 655.02, 0.04]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.15, 655.05, 0.1]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.32, 0.3, 1.1], 'gyro': [0.1, 655.14, 0.12]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.15, 655.08, 0.03]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.18, 655.3, 0.04]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.11], 'gyro': [0.06, 654.83, 0.04]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.28, 0.27, 1.05], 'gyro': [0.79, 655.23, 655.28]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.31, 1.11], 'gyro': [0.26, 654.85, 0.13]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.29, 1.1], 'gyro': [0.2, 654.93, 0.07]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.29, 1.1], 'gyro': [0.2, 655.14, 655.35]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.29, 1.1], 'gyro': [0.38, 654.87, 655.22]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.32, 0.3, 1.1], 'gyro': [0.21, 655.15, 0.02]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.11], 'gyro': [0.08, 655.17, 0.08]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.32, 0.29, 1.1], 'gyro': [0.14, 655.15, 655.29]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.18, 655.14, 0.11]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.12, 655.11, 0.1]}"
